Nombre,DL,DL+,DL-,Z,z+,z-,,
GW200322_091133 ,3600,7000,-2000,0.6,0.84,-0.3,,
GW200316_215756 ,1120,470,-440,0.22,0.08,-0.08,,
GW200311_115853 ,1170,280,-400,0.23,0.05,-0.07,,
GW200308_173609 ,5400,2700,-2600,0.83,0.32,-0.35,,
GW200306_093714 ,2100,1700,-1100,0.38,0.24,-0.18,,
GW200302_015811 ,1480,1020,-700,0.28,0.16,-0.12,,
GW200225_060421 ,1150,510,-530,0.22,0.09,-0.1,,
GW200224_222234 ,1710,490,-640,0.32,0.08,-0.11,,
GW200220_124850 ,4000,2800,-2200,0.66,0.36,-0.31,,
GW200220_061928 ,6000,4800,-3100,0.9,0.55,-0.4,,
GW200219_094415 ,3400,1700,-1500,0.57,0.22,-0.22,,
GW200216_220804 ,3800,3000,-2000,0.63,0.37,-0.29,,
GW200210_092254 ,940,430,-340,0.19,0.08,-0.06,,
GW200209_085452 ,3400,1900,-1800,0.57,0.25,-0.26,,
GW200208_222617 ,4100,4400,-1900,0.66,0.54,-0.28,,
GW200208_130117 ,2230,1000,-850,0.4,0.15,-0.14,,
GW200202_154313 ,410,150,-160,0.09,0.03,-0.03,,
GW200129_065458 ,900,290,-380,0.18,0.05,-0.07,,
GW200128_022011 ,3400,2100,-1800,0.56,0.28,-0.28,,
GW200115_042309 ,290,150,-100,0.06,0.03,-0.02,,
GW200115_042309 ,300,150,-100,0.07,0.03,-0.02,,
GW200112_155838 ,1250,430,-460,0.24,0.07,-0.08,,
GW200105_162426 ,270,120,-110,0.06,0.02,-0.02,,
GW200105_162426 ,280,110,-110,0.06,0.02,-0.02,,
GW191230_180458 ,4300,2100,-1900,0.69,0.26,-0.27,,
GW191222_033537 ,3000,1700,-1700,0.51,0.23,-0.26,,
GW191219_163120 ,550,250,-160,0.11,0.05,-0.03,,
GW191216_213338 ,340,120,-130,0.07,0.02,-0.03,,
GW191215_223052 ,1930,890,-860,0.35,0.13,-0.14,,
GW191204_171526 ,650,190,-250,0.13,0.04,-0.05,,
GW191204_110529 ,1800,1700,-1100,0.34,0.25,-0.18,,
GW191129_134029 ,790,260,-330,0.16,0.05,-0.06,,
GW191127_050227 ,3400,3100,-1900,0.57,0.4,-0.29,,
GW191126_115259 ,1620,740,-740,0.3,0.12,-0.13,,
GW191113_071753 ,1370,1150,-620,0.26,0.18,-0.11,,
GW191109_010717 ,1290,1130,-650,0.25,0.18,-0.12,,
GW191105_143521 ,1150,430,-480,0.23,0.07,-0.09,,
GW191103_012549 ,990,500,-470,0.2,0.09,-0.09,,
GW190930_133541 ,770,320,-320,0.16,0.06,-0.06,,
GW190930_133541 ,760,360,-320,0.15,0.06,-0.06,,
GW190929_012149 ,2130,3650,-1050,0.38,0.49,-0.17,,
GW190929_012149 ,3130,2510,-1370,0.53,0.33,-0.2,,
GW190926_050336 ,3280,3400,-1730,0.55,0.44,-0.26,,
GW190925_232845 ,930,460,-350,0.19,0.08,-0.07,,
GW190924_021846 ,550,220,-220,0.11,0.04,-0.04,,
GW190924_021846 ,570,220,-220,0.12,0.04,-0.04,,
GW190917_114630 ,720,300,-310,0.15,0.05,-0.06,,
GW190916_200658 ,4940,3710,-2380,0.77,0.45,-0.32,,
GW190915_235702 ,1620,710,-610,0.3,0.11,-0.1,,
GW190915_235702 ,1750,710,-650,0.32,0.11,-0.11,,
GW190910_112807 ,1520,1090,-630,0.29,0.17,-0.11,,
GW190910_112807 ,1460,1030,-580,0.28,0.16,-0.1,,
GW190909_114149 ,3770,3270,-2220,0.62,0.41,-0.33,,
GW190828_065509 ,1600,620,-600,0.3,0.1,-0.1,,
GW190828_065509 ,1540,690,-650,0.29,0.11,-0.11,,
GW190828_063405 ,2130,660,-930,0.38,0.1,-0.15,,
GW190828_063405 ,2070,650,-920,0.38,0.1,-0.15,,
GW190814 ,230,40,-50,0.05,0.01,-0.01,,
GW190814 ,240,40,-50,0.05,9.00E-03,-0.01,,
GW190814 ,241,41,-45,0.053,0.009,-0.01,,
GW190805_211137 ,6130,3720,-3080,0.92,0.43,-0.4,,
GW190803_022701 ,3270,1950,-1580,0.55,0.26,-0.24,,
GW190803_022701 ,3190,1630,-1470,0.54,0.22,-0.22,,
GW190731_140936 ,3330,2350,-1770,0.56,0.31,-0.26,,
GW190731_140936 ,3300,2390,-1720,0.55,0.31,-0.26,,
GW190728_064510 ,880,260,-380,0.18,0.05,-0.07,,
GW190728_064510 ,870,260,-370,0.18,0.05,-0.07,,
GW190727_060333 ,3300,1540,-1500,0.55,0.21,-0.22,,
GW190727_060333 ,3070,1300,-1230,0.52,0.18,-0.18,,
GW190725_174728 ,1030,520,-430,0.2,0.09,-0.08,,
GW190720_000836 ,770,650,-260,0.16,0.11,-0.05,,
GW190720_000836 ,790,690,-320,0.16,0.12,-0.06,,
GW190719_215514 ,3730,3120,-2070,0.61,0.39,-0.3,,
GW190719_215514 ,3940,2590,-2000,0.64,0.33,-0.29,,
GW190708_232457 ,880,330,-390,0.18,0.06,-0.07,,
GW190708_232457 ,930,310,-390,0.19,0.06,-0.07,,
GW190707_093326 ,770,380,-370,0.16,0.07,-0.07,,
GW190707_093326 ,850,340,-400,0.17,0.06,-0.08,,
GW190706_222641 ,3630,2600,-2000,0.6,0.33,-0.29,,
GW190706_222641 ,4420,2590,-1930,0.71,0.32,-0.27,,
GW190701_203306 ,2060,760,-730,0.37,0.11,-0.12,,
GW190701_203306 ,2090,770,-740,0.38,0.11,-0.12,,
GW190630_185205 ,890,560,-370,0.18,0.1,-0.07,,
GW190630_185205 ,870,530,-360,0.18,0.09,-0.07,,
GW190620_030421 ,2910,1710,-1320,0.5,0.23,-0.2,,
GW190620_030421 ,2810,1680,-1310,0.49,0.23,-0.2,,
GW190602_175927 ,2690,1790,-1120,0.47,0.25,-0.17,,
GW190602_175927 ,2840,1930,-1280,0.49,0.26,-0.2,,
GW190527_092055 ,2490,2480,-1240,0.44,0.34,-0.2,,
GW190527_092055 ,2520,2080,-1230,0.44,0.29,-0.19,,
GW190521_074359 ,1240,400,-570,0.24,0.07,-0.1,,
GW190521_074359 ,1080,580,-530,0.21,0.1,-0.1,,
GW190521 ,3310,2790,-1800,0.56,0.36,-0.27,,
GW190521 ,3920,2190,-1950,0.64,0.28,-0.28,,
GW190521 ,5300,2400,-2600,0.82,0.28,-0.34,,
GW190519_153544 ,2530,1830,-920,0.44,0.25,-0.14,,
GW190519_153544 ,2600,1720,-960,0.45,0.24,-0.15,,
GW190517_055101 ,1790,1750,-880,0.33,0.26,-0.15,,
GW190517_055101 ,1860,1620,-840,0.34,0.24,-0.14,,
GW190514_065416 ,3890,2610,-2070,0.64,0.33,-0.3,,
GW190514_065416 ,4130,2650,-2170,0.67,0.33,-0.31,,
GW190513_205428 ,2060,880,-800,0.37,0.13,-0.13,,
GW190513_205428 ,2210,990,-810,0.4,0.14,-0.13,,
GW190512_180714 ,1460,510,-590,0.28,0.08,-0.1,,
GW190512_180714 ,1430,550,-550,0.27,0.09,-0.1,,
GW190503_185404 ,1450,690,-630,0.27,0.11,-0.11,,
GW190503_185404 ,1520,630,-600,0.29,0.1,-0.1,,
GW190426_190642 ,4580,3400,-2280,0.73,0.41,-0.32,,
GW190426_152155 ,370,180,-160,0.08,0.04,-0.03,,
GW190425 ,150,80,-60,0.03,0.02,-0.01,,
GW190425 ,160,70,-70,0.03,0.01,-0.02,,
GW190425 ,159,69,-72,0.04,0.01,-0.02,,
GW190424_180648 ,2200,1580,-1160,0.39,0.23,-0.19,,
GW190421_213856 ,2880,1370,-1380,0.49,0.19,-0.21,,
GW190421_213856 ,2590,1490,-1240,0.45,0.21,-0.19,,
GW190413_134308 ,3800,2480,-1830,0.62,0.32,-0.26,,
GW190413_134308 ,4450,2480,-2120,0.71,0.31,-0.3,,
GW190413_052954 ,3320,1910,-1400,0.56,0.25,-0.21,,
GW190413_052954 ,3550,2270,-1660,0.59,0.29,-0.24,,
GW190412 ,740,140,-170,0.15,0.03,-0.03,,
GW190412 ,740,130,-160,0.15,0.03,-0.03,,
GW190412 ,720,240,-220,0.15,0.04,-0.04,,
GW190408_181802 ,1550,400,-600,0.29,0.06,-0.1,,
GW190408_181802 ,1540,440,-620,0.29,0.07,-0.11,,
GW190403_051519 ,8280,6720,-4290,1.18,0.73,-0.53,,
GW170823 ,1940,970,-900,0.35,0.15,-0.15,,
GW170818 ,1060,420,-380,0.21,0.07,-0.07,,
GW170817 ,40,7,-15,0.1,0,0,,
GW170814 ,600,150,-220,0.12,0.03,-0.04,,
GW170809 ,1030,320,-390,0.2,0.05,-0.07,,
